id,name,category,school_id,riasec_code,heat,employment_rate,intro,core_courses,career_paths,industry_outlook,suits
A262_13fefbb8,药学,医学,A262,IS,50.0,0.85,,,,,
A262_fd3b24f5,眼视光学,工学,A262,RI,50.0,0.85,,,,,
A262_64d47c00,助产学,工学,A262,RI,50.0,0.85,,,,,
C912_25826e66,软件技术,工学,C912,RI,50.0,0.85,,,,,
C912_f3288f8b,宠物医疗技术,工学,C912,RI,50.0,0.85,,,,,
C912_7596d18f,文化创意与策划,工学,C912,RI,50.0,0.85,,,,,
C912_a08c050c,人工智能技术应用,工学,C912,RI,50.0,0.85,,,,,
C912_54c9cf51,生物制药技术,工学,C912,RI,50.0,0.85,,,,,
C912_81968e86,园艺技术,农学,C912,RI,50.0,0.85,,,,,
C912_7454192b,环境工程技术,工学,C912,RI,50.0,0.85,,,,,
B733_364ca04d,数字出版,工学,B733,RI,50.0,0.85,,,,,
B733_17f39644,包装工程技术,工学,B733,RI,50.0,0.85,,,,,
B733_d5128dd5,广播影视节目制作,艺术学,B733,AE,50.0,0.85,,,,,
B733_1a9229b9,文化产业经营与管理,管理学,B733,EC,50.0,0.85,,,,,
B733_65ab69f0,数字影像档案技术,医学,B733,IS,50.0,0.85,,,,,
B733_e5b74fd9,动漫制作技术,工学,B733,RI,50.0,0.85,,,,,
B733_481e1720,商务英语,文学,B733,AS,50.0,0.85,,,,,
B733_94be67e1,大数据技术,工学,B733,RI,50.0,0.85,,,,,
B733_e05dff0b,虚拟现实技术应用,工学,B733,RI,50.0,0.85,,,,,
B733_0e1daad2,电子竞技运动与管理,管理学,B733,EC,50.0,0.85,,,,,
B733_7428e818,工业设计,艺术学,B733,AE,50.0,0.85,,,,,
B733_526ae476,移动应用开发,工学,B733,RI,50.0,0.85,,,,,
B733_b1badb2a,出版商务,工学,B733,RI,50.0,0.85,,,,,
K371_cd813457,数字媒体技术,工学,K371,RI,50.0,0.85,,,,,
K371_5ea08cb5,智慧健康养老服务与管理,管理学,K371,EC,50.0,0.85,,,,,
K371_a08c050c,人工智能技术应用,工学,K371,RI,50.0,0.85,,,,,
K371_bd299fd9,网络营销与直播电商,工学,K371,RI,50.0,0.85,,,,,
K371_9ffd0c61,国际邮轮乘务管理,管理学,K371,EC,50.0,0.85,,,,,
K371_d5cab863,新能源汽车检测与维修技术,工学,K371,RI,50.0,0.85,,,,,
C050_444cff4b,会计学,管理学,C050,EC,50.0,0.85,,,,,
C050_65072ce5,国际经济与贸易,经济学,C050,IE,50.0,0.85,,,,,
C050_68ada59f,经济统计学,经济学,C050,IE,50.0,0.85,,,,,
C050_46129690,电子商务,管理学,C050,EC,50.0,0.85,,,,,
C050_5a018655,酒店管理,管理学,C050,EC,50.0,0.85,,,,,
C495_a3910556,食品检验检测技术,医学,C495,IS,50.0,0.85,,,,,
C495_9fd779fd,大数据与会计,管理学,C495,EC,50.0,0.85,,,,,
C495_f2d34b34,国际商务,工学,C495,RI,50.0,0.85,,,,,
C495_dfbc4ffd,文物修复与保护,历史学,C495,AI,50.0,0.85,,,,,
C495_a08c050c,人工智能技术应用,工学,C495,RI,50.0,0.85,,,,,
C495_a9cc3c82,护理,医学,C495,IS,50.0,0.85,,,,,
C495_ed875a16,计算机应用技术,工学,C495,RI,50.0,0.85,,,,,
C495_0793ba58,康复治疗技术,医学,C495,IS,50.0,0.85,,,,,
C495_17add3f2,机电一体化技术,工学,C495,RI,50.0,0.85,,,,,
C495_5f81dfe7,人力资源管理,管理学,C495,EC,50.0,0.85,,,,,
C495_8cee4075,建筑设计,艺术学,C495,AE,50.0,0.85,,,,,
C495_c915fa39,大数据技术,工学,C495,RI,50.0,0.85,,,,,
C495_4104bd41,会展策划与管理,管理学,C495,EC,50.0,0.85,,,,,
C495_f9f67f33,园林技术,农学,C495,RI,50.0,0.85,,,,,
C495_13789ce5,医学检验技术,医学,C495,IS,50.0,0.85,,,,,
C495_5ed5c8ab,健康管理,管理学,C495,EC,50.0,0.85,,,,,
C495_5ea08cb5,智慧健康养老服务与管理,管理学,C495,EC,50.0,0.85,,,,,
C495_5acfc105,古建筑工程技术,工学,C495,RI,50.0,0.85,,,,,
C495_d4260074,智能控制技术,工学,C495,RI,50.0,0.85,,,,,
C495_08ffaa27,工程造价,工学,C495,RI,50.0,0.85,,,,,
C495_46a4a68a,社会工作,工学,C495,RI,50.0,0.85,,,,,
C495_49331c0e,食品质量与安全,工学,C495,RI,50.0,0.85,,,,,
C495_a075fcbd,现代物流管理,管理学,C495,EC,50.0,0.85,,,,,
C495_2cc02b28,空间数字建模与应用技术,工学,C495,RI,50.0,0.85,,,,,
C495_e09d9502,现代物业管理,管理学,C495,EC,50.0,0.85,,,,,
C495_04ad59b9,智慧城市管理技术,管理学,C495,EC,50.0,0.85,,,,,
C495_fe2abf3d,区块链技术应用,工学,C495,RI,50.0,0.85,,,,,
C495_8eb4c300,建筑工程技术,工学,C495,RI,50.0,0.85,,,,,
C495_7454192b,环境工程技术,工学,C495,RI,50.0,0.85,,,,,
C495_7367d687,市政工程技术,工学,C495,RI,50.0,0.85,,,,,
C495_ea303df3,装配式建筑工程技术,工学,C495,RI,50.0,0.85,,,,,
C495_ff53238a,道路与桥梁工程技术,工学,C495,RI,50.0,0.85,,,,,
A271_aa3f7342,英语,文学,A271,AS,50.0,0.85,,,,,
A271_444cff4b,会计学,管理学,A271,EC,50.0,0.85,,,,,
A271_5a14fa04,外交学,工学,A271,RI,50.0,0.85,,,,,
A271_d1b73fc5,德语,文学,A271,AS,50.0,0.85,,,,,
A271_48f2e170,法语,文学,A271,AS,50.0,0.85,,,,,
A271_f900b277,金融学,经济学,A271,IE,50.0,0.85,,,,,
A271_b82b453b,汉语国际教育,教育学,A271,SI,50.0,0.85,,,,,
A271_e9eadee8,工商管理类,管理学,A271,EC,50.0,0.85,,,,,
A271_f12fbcad,新闻传播学类,文学,A271,AS,50.0,0.85,,,,,
A271_908d202e,国际政治,法学,A271,SE,50.0,0.85,,,,,
D636_931c1a66,新闻学,文学,D636,AS,50.0,0.85,,,,,
D636_65072ce5,国际经济与贸易,经济学,D636,IE,50.0,0.85,,,,,
D636_444cff4b,会计学,管理学,D636,EC,50.0,0.85,,,,,
D636_aa3f7342,英语,文学,D636,AS,50.0,0.85,,,,,
D636_d1b73fc5,德语,文学,D636,AS,50.0,0.85,,,,,
D636_f900b277,金融学,经济学,D636,IE,50.0,0.85,,,,,
D636_14fae387,日语,文学,D636,AS,50.0,0.85,,,,,
D636_b3f12b93,学前教育,教育学,D636,SI,50.0,0.85,,,,,
D636_16bfbf6d,翻译,文学,D636,AS,50.0,0.85,,,,,
D636_0406904e,大数据管理与应用,管理学,D636,EC,50.0,0.85,,,,,
A280_e8d2189a,电子信息类,工学,A280,RI,50.0,0.85,,,,,
A280_a4f87945,电气类,工学,A280,RI,50.0,0.85,,,,,
A280_b765eb5a,文科试验班类,工学,A280,RI,50.0,0.85,,,,,
A280_735daeec,理科试验班,工学,A280,RI,50.0,0.85,,,,,
A280_5d83c82b,理科试验班类,工学,A280,RI,50.0,0.85,,,,,
A280_aeb33643,经济学类,经济学,A280,IE,50.0,0.85,,,,,
